id,category,name,provider,endpoint_url,docs_url,auth_type,cost,real_time,update_frequency,coverage,format,license,attribution_required,notes
flt-001,flights,OpenSky Network REST API,OpenSky Network,https://opensky-network.org/api,https://openskynetwork.github.io/opensky-api/rest.html,none/optional account,free,yes,~5-15s state vector refresh,global (crowdsourced ADS-B receivers),JSON,free for research/non-commercial use; commercial use requires contacting OpenSky,yes,Anonymous calls are rate-limited (~400 credits/day); registering a free account raises limits. Coverage has gaps where few volunteer receivers exist.
flt-002,flights,ADS-B Exchange API v2,ADS-B Exchange,https://www.adsbexchange.com/data/,https://www.adsbexchange.com/api/,API key,free tier + paid tiers,yes,~5s,"global; crowdsourced, includes unfiltered/military traffic",JSON,free tier for personal/non-commercial use; commercial use requires a paid plan,yes,Check current ToS before redistribution - licensing terms have changed over time and heavy/commercial use is not free.
trn-001,trains,Mobility Database (GTFS + GTFS-RT aggregator),MobilityData,https://database.mobilitydata.org/,https://mobilitydata.org/,none for browsing; key for API,free,yes (via linked GTFS-RT feeds),varies per agency (seconds to minutes),global,GTFS static (CSV/zip) + GTFS-RT (protobuf),each source feed sets its own license; most are open/public,varies by feed,Best single index for discovering live train/transit feeds worldwide - use it to look up the GTFS-RT feed for any given agency rather than tracking agencies individually.
trn-002,trains,DB Timetables & Disruptions API,Deutsche Bahn (Germany),https://developers.deutschebahn.com/db-api-marketplace/apis/,https://developers.deutschebahn.com/db-api-marketplace/apis/,free API key,free,yes,live,Germany national rail,JSON/XML,free with registration,yes,"Covers live timetables, real-time delays and disruptions for the German national rail network."
trn-003,trains,Darwin Real-Time Train Data,Network Rail / National Rail (UK),https://opendata.nationalrail.co.uk/,https://wiki.openraildata.com/,free registration,free,yes,near-instant push updates,UK national rail,XML (Darwin Push Port) / STOMP feed,free open data licence with registration,yes,Live train running information delivered as a continuous push feed rather than polled REST.
trn-004,trains,SNCF Open Data API,SNCF (France),https://www.digital.sncf.com/startup/api,https://www.digital.sncf.com/startup/api,free API key,free,yes,live,France national rail,JSON,open license (Etalab / SNCF open data terms),yes,Real-time schedules and disruption data for French national and regional rail.
sat-001,satellite-imagery,Global Imagery Browse Services (GIBS),NASA EOSDIS,https://gibs.earthdata.nasa.gov/,https://nasa-gibs.github.io/gibs-api-docs/,none,free,near real-time,most imagery available within ~3 hours of observation,global,WMTS/WMS tiles,US government work - public domain,no,"Serves imagery from MODIS, VIIRS and other NASA earth-observation instruments as standard map tiles."
sat-002,satellite-imagery,Copernicus Data Space Ecosystem (Sentinel),European Space Agency / Copernicus,https://dataspace.copernicus.eu/,https://documentation.dataspace.copernicus.eu/,free registration,free,no (revisit-based),2-5 day revisit depending on satellite,global,GeoTIFF/JP2 imagery + APIs,Copernicus free/full/open data licence,yes,"Not live video, but frequent full-resolution optical and radar imagery revisits - the largest free open satellite imagery archive."
sat-003,satellite-tracking,CelesTrak Orbital Elements,CelesTrak,https://celestrak.org/NORAD/elements/,https://celestrak.org/NORAD/documentation/,none,free,yes,updated multiple times per day,global (all tracked orbital objects),TLE text / JSON / CSV,public domain,no,Two-Line Element sets used to compute real-time satellite positions with any SGP4 propagator; the authoritative free source for orbital data.
sat-004,satellite-tracking,N2YO Satellite Tracking API,N2YO,https://www.n2yo.com/api/,https://www.n2yo.com/api/,free API key,free tier + paid,yes,live position updates,global,JSON,free for personal use per API terms,yes,Free tier capped around 1000 transactions/hour; returns live look angles and positions for any tracked satellite by NORAD ID.
cam-001,traffic-cameras,511.org Open Data (Traffic Events / Toll / WZDx only - no camera API),511.org / MTC (California),https://511.org/open-data/traffic,https://511.org/open-data/traffic,free API token,free,yes,varies by feed,California (Bay Area),JSON/XML,free open data terms,yes,"CORRECTED after implementation attempt: 511.org's public Open Data API only documents Traffic Events, Toll Data, and WZDx endpoints - it does NOT expose a camera/CCTV endpoint despite the 511.org website showing camera images in its own UI. Use WSDOT (cam-002) for a confirmed working camera API instead."
cam-002,traffic-cameras,WSDOT Traveler Information API,Washington State DOT,https://wsdot.wa.gov/traffic/api/,https://wsdot.wa.gov/traffic/api/Documentation/,free access code,free,yes,image refresh every 1-2 min,Washington State,XML/JSON + JPEG snapshots,free with WSDOT terms of use,yes,Official state DOT traffic cameras and travel-time data for Washington highways.
cam-003,traffic-cameras,National Highways WebTRIS / Traffic England cameras,National Highways (UK),https://webtris.nationalhighways.co.uk/,https://webtris.nationalhighways.co.uk/api/swagger/ui/index,"mixed - some endpoints open, some require key",free,yes,near real-time,England motorways and major A-roads,JSON + JPEG snapshots,UK Open Government Licence,yes,Official government road-network data; verify per-endpoint terms as WebTRIS (traffic counts) and camera imagery are served separately.
net-001,network,Cloudflare Radar API,Cloudflare,https://radar.cloudflare.com/,https://developers.cloudflare.com/radar/,free API token,free,yes,near real-time,global,JSON,free to use with attribution,yes,"Aggregated, anonymized internet traffic, outage and attack-trend data derived from Cloudflare's network - no PII."
net-002,network,IODA (Internet Outage Detection and Analysis),Georgia Tech / CAIDA,https://ioda.inetintel.cc.gatech.edu/,https://ioda.inetintel.cc.gatech.edu/api,none,free,yes,near real-time signal updates,global (country/region/ASN level),JSON,"free, research-oriented open data",yes,"Detects large-scale internet outages by correlating multiple signal sources (BGP, active probing, darknet traffic)."
net-003,network,Ookla Open Data (Speedtest Intelligence),Ookla,https://github.com/teamookla/ookla-open-data,https://github.com/teamookla/ookla-open-data,none,free,no - quarterly aggregated tiles,quarterly,global,Parquet/Shapefile tiles on AWS S3,free for any use with attribution (check current repo terms),yes,"Not real-time - useful as a historical/background baseline for fixed and mobile broadband speeds, not for live status."
